title,price_gbp,price_inr,rating,in_stock,category
Sharp Objects,47.82,5045.01,4,True,Mystery
"In a Dark, Dark Wood",19.63,2070.96,1,True,Mystery
The Past Never Ends,56.5,5960.75,4,True,Mystery
A Murder in Time,16.64,1755.52,1,True,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4652.55,4,True,Mystery
The Last Mile (Amos Decker #2),54.21,5719.16,2,True,Mystery
That Darkness (Gardiner and Renner #1),13.92,1468.56,1,True,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,1127.79,1,True,Mystery
A Time of Torment (Charlie Parker #14),48.35,5100.92,5,True,Mystery
A Study in Scarlet (Sherlock Holmes #1),16.73,1765.02,2,True,Mystery
Poisonous (Max Revere Novels #3),26.8,2827.4,3,True,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,5734.98,4,True,Mystery
Most Wanted,35.28,3722.04,3,True,Mystery
Hide Away (Eve Duncan #20),11.84,1249.12,1,True,Mystery
Boar Island (Anna Pigeon #19),59.48,6275.14,3,True,Mystery
The Widow,27.26,2875.93,2,True,Mystery
Playing with Fire,13.71,1446.41,3,True,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,2676.54,5,True,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5517.65,5,True,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),20.89,2203.9,4,True,Mystery
The Requiem Red,22.65,2389.57,1,True,Young Fiction
Set Me Free,17.46,1842.03,5,True,Young Fiction
The Natural History of Us (The Fine Art of Pretending #2),45.22,4770.71,3,True,Young Fiction
Obsidian (Lux #1),14.86,1567.73,2,True,Young Fiction
Burning,28.81,3039.46,3,True,Young Fiction
A Fierce and Subtle Poison,28.13,2967.71,4,True,Young Fiction
Scarlett Epstein Hates It Here,43.55,4594.52,5,True,Young Fiction
"Nightingale, Sing",38.28,4038.54,1,True,Young Fiction
Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,5123.08,5,True,Young Fiction
Frostbite (Vampire Academy #2),29.99,3163.94,5,True,Young Fiction
Wild Swans,14.36,1514.98,2,True,Young Fiction
Until Friday Night (The Field Party #1),46.31,4885.7,2,True,Young Fiction
This Is Where It Ends,27.12,2861.16,2,True,Young Fiction
The Darkest Lie,35.35,3729.42,5,True,Young Fiction
My Kind of Crazy,40.36,4257.98,1,True,Young Fiction
Don't Get Caught,55.35,5839.42,1,True,Young Fiction
Catching Jordan (Hundred Oaks),50.83,5362.56,3,True,Young Fiction
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,6133.77,4,True,Young Fiction
The Epidemic (The Program 0.6),14.44,1523.42,5,True,Young Fiction
Stars Above (The Lunar Chronicles #4.5),48.05,5069.27,2,True,Young Fiction
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,1891.62,3,True,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,2384.3,4,True,Default
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,1475.94,2,True,Default
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,2373.75,3,True,Default
Aladdin and His Wonderful Lamp,53.13,5605.22,3,True,Default
Penny Maybe,33.29,3512.1,3,True,Default
Maude (1883-1993):She Grew Up with the country,18.02,1901.11,2,True,Default
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,2172.24,5,True,Default
Soul Reader,39.58,4175.69,2,True,Default
Bossypants,49.46,5218.03,2,True,Default
A World of Flavor: Your Gluten Free Passport,42.95,4531.23,1,True,Default
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,5988.18,5,True,Default
Tracing Numbers on a Train,41.6,4388.8,3,True,Default
Thirteen Reasons Why,52.72,5561.96,1,True,Default
The Secret (The Secret #1),27.37,2887.54,4,True,Default
The Psychopath Test: A Journey Through the Madness Industry,36.0,3798.0,2,True,Default
The Kite Runner,41.82,4412.01,4,True,Default
The Girl on the Train,55.02,5804.61,2,True,Default
The Emerald Mystery,23.15,2442.32,2,True,Default
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,3376.0,3,True,Default
